TransactionID,Items
1,"Harry Potter 1, Harry Potter 2, Bookmark"
2,"Notebook, Pen, Blue Ink"
3,"1984, Animal Farm, Bookmark"
4,"Harry Potter 1, Notebook"
5,"Python Guide, Data Science Intro, Notebook"
6,"Harry Potter 1, Harry Potter 2, Tote Bag"
7,"Notebook, Pen"
8,"1984, Animal Farm"
9,"Python Guide, Pen, Notebook"
10,"Harry Potter 2, Bookmark"
11,"Notebook, Pen, Blue Ink, Tote Bag"
12,"Data Science Intro, Python Guide"
13,"Harry Potter 1, Harry Potter 2, Bookmark, Tote Bag"
14,"Notebook, Pen"
15,"1984, Tote Bag"
